station_id,name,obs_time_utc,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,frc
tt_sudirman,Jl. Sudirman (HI),2026-09-07T03:26:13+00:00,-6.2088,106.8228,27,39,531,368,0.3077,False,1.0,FRC1
tt_thamrin,Jl. MH Thamrin,2026-09-07T03:26:13+00:00,-6.188,106.823,19,21,302,273,0.0952,False,1.0,FRC1
tt_gatsu,Jl. Gatot Subroto,2026-09-07T03:26:13+00:00,-6.2349,106.83,37,45,63,52,0.1778,False,1.0,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-07T03:26:13+00:00,-6.221,106.83,16,19,273,229,0.1579,False,0.987783,FRC4
tt_cawang,Cawang interchange,2026-09-07T03:26:13+00:00,-6.245,106.865,23,42,117,64,0.4524,False,1.0,FRC1
tt_grogol,Grogol,2026-09-07T03:26:13+00:00,-6.166,106.79,24,40,508,304,0.4,False,1.0,FRC2
tt_kelapagading,Kelapa Gading,2026-09-07T03:26:13+00:00,-6.158,106.906,25,29,1228,1059,0.1379,False,0.994197,FRC3
tt_tbsimatupang,TB Simatupang,2026-09-07T03:26:13+00:00,-6.293,106.82,54,71,458,348,0.2394,False,1.0,FRC0
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-07T03:26:13+00:00,-6.195,106.77,29,35,1398,1158,0.1714,False,1.0,FRC2
tt_bekasi,Tol Jakarta-Cikampek,2026-09-07T03:26:13+00:00,-6.24,106.975,18,18,1072,1072,0.0,False,1.0,FRC4
tt_depok,Jl. Margonda (Depok),2026-09-07T03:26:13+00:00,-6.4,106.82,26,31,2120,1778,0.1613,False,0.960115,FRC2
tt_tangerang,Tol Jakarta-Merak,2026-09-07T03:26:13+00:00,-6.2,106.63,48,48,193,193,0.0,False,1.0,FRC1
tt_bsd,BSD/Serpong,2026-09-07T03:26:13+00:00,-6.3,106.67,34,34,165,165,0.0,False,1.0,FRC3
tt_bogor,Tol Jagorawi (Bogor),2026-09-07T03:26:13+00:00,-6.5,106.84,32,44,925,673,0.2727,False,1.0,FRC1
tt_sudirman_s,Jl. Sudirman Selatan (Senayan),2026-09-07T03:26:13+00:00,-6.229,106.802,21,21,351,351,0.0,False,1.0,FRC2
tt_mtharyono,Jl. MT Haryono (Cawang),2026-09-07T03:26:13+00:00,-6.245,106.882,47,47,37,37,0.0,False,1.0,FRC1
tt_merdekabar,Jl. Medan Merdeka Barat,2026-09-07T03:26:13+00:00,-6.1755,106.82,27,27,68,68,0.0,False,1.0,FRC4
tt_majapahit,Jl. Majapahit,2026-09-07T03:26:13+00:00,-6.165,106.8175,22,40,554,304,0.45,False,1.0,FRC2
tt_daanmogot,Jl. Daan Mogot (Grogol),2026-09-07T03:26:13+00:00,-6.158,106.755,32,39,405,332,0.1795,False,1.0,FRC1
tt_rayabogor,Jl. Raya Bogor (Pasar Rebo),2026-09-07T03:26:13+00:00,-6.33,106.86,23,23,604,604,0.0,False,1.0,FRC4
tt_kalimalang,Jl. Kalimalang (Bekasi),2026-09-07T03:26:13+00:00,-6.256,106.965,31,31,169,169,0.0,False,1.0,FRC4
tt_sultanagung,Jl. Sultan Agung (Bekasi),2026-09-07T03:26:13+00:00,-6.255,107.005,25,25,183,183,0.0,False,1.0,FRC3
tt_sparman,Jl. Letjen S. Parman (Slipi),2026-09-07T03:26:13+00:00,-6.185,106.795,24,24,156,156,0.0,False,1.0,FRC4
tt_lingkardalam,Tol Lingkar Dalam (Semanggi),2026-09-07T03:26:13+00:00,-6.225,106.81,12,22,132,72,0.4545,False,0.99,FRC4
tt_hayamwuruk,Jl. Hayam Wuruk,2026-09-07T03:26:13+00:00,-6.145,106.815,17,24,770,545,0.2917,False,0.989163,FRC3
tt_gajahmada,Jl. Gajah Mada,2026-09-07T03:26:13+00:00,-6.152,106.81,18,21,556,476,0.1429,False,0.952462,FRC3
tt_kramatraya,Jl. Kramat Raya (Senen),2026-09-07T03:26:13+00:00,-6.182,106.845,21,26,161,130,0.1923,False,1.0,FRC3
tt_salemba,Jl. Salemba Raya,2026-09-07T03:26:13+00:00,-6.185,106.85,29,35,1173,972,0.1714,False,0.997007,FRC2
tt_otista,Jl. Otista Raya,2026-09-07T03:26:13+00:00,-6.235,106.86,19,24,568,449,0.2083,False,0.967018,FRC4
tt_matraman,Jl. Matraman Raya,2026-09-07T03:26:13+00:00,-6.225,106.85,33,42,2152,1691,0.2143,False,0.999749,FRC3
tt_pramuka,Jl. Pramuka,2026-09-07T03:26:13+00:00,-6.19,106.865,33,43,481,369,0.2326,False,1.0,FRC2
tt_pemuda,Jl. Pemuda,2026-09-07T03:26:13+00:00,-6.18,106.88,39,39,118,118,0.0,False,1.0,FRC4
tt_pluit,Jl. Pluit Raya,2026-09-07T03:26:13+00:00,-6.122,106.778,51,51,90,90,0.0,False,1.0,FRC2
tt_kapukmuara,Jl. Kapuk Muara,2026-09-07T03:26:13+00:00,-6.115,106.745,27,33,246,201,0.1818,False,1.0,FRC4
tt_martadinata,Jl. RE Martadinata,2026-09-07T03:26:13+00:00,-6.108,106.88,24,34,579,408,0.2941,False,0.99,FRC1
tt_gunungsahari,Jl. Gunung Sahari,2026-09-07T03:26:13+00:00,-6.148,106.83,20,25,369,295,0.2,False,1.0,FRC4
tt_manggadua,Jl. Mangga Dua Raya,2026-09-07T03:26:13+00:00,-6.142,106.822,35,35,241,241,0.0,False,1.0,FRC4
tt_cakungcilincing,Jl. Raya Cakung-Cilincing,2026-09-07T03:26:13+00:00,-6.148,106.93,18,28,1312,843,0.3571,False,0.958572,FRC3
tt_rayabekasi_cakung,Jl. Raya Bekasi (Cakung),2026-09-07T03:26:13+00:00,-6.172,106.945,26,36,537,388,0.2778,False,0.99461,FRC3
tt_perintis,Jl. Perintis Kemerdekaan,2026-09-07T03:26:13+00:00,-6.187,106.905,24,27,248,221,0.1111,False,0.914321,FRC4
tt_jatinegara,Jl. Jatinegara Timur,2026-09-07T03:26:13+00:00,-6.215,106.87,29,35,1173,972,0.1714,False,0.997007,FRC2
tt_supomo,Jl. Prof. Supomo (Sahardjo),2026-09-07T03:26:13+00:00,-6.245,106.848,48,48,21,21,0.0,False,1.0,FRC1
tt_cijantung,Jl. Raya Cijantung,2026-09-07T03:26:13+00:00,-6.31,106.855,21,21,202,202,0.0,False,1.0,FRC4
tt_tambun,Jl. Raya Tambun (Bekasi),2026-09-07T03:26:13+00:00,-6.268,107.05,33,37,1028,916,0.1081,False,0.976258,FRC4
tt_cibitung,Jl. Raya Cibitung,2026-09-07T03:26:13+00:00,-6.245,107.095,23,23,1201,1201,0.0,False,1.0,FRC4
tt_fatmawati,Jl. RS Fatmawati,2026-09-07T03:26:13+00:00,-6.292,106.797,35,35,17,17,0.0,False,1.0,FRC1
tt_lebakbulus,Jl. Lebak Bulus,2026-09-07T03:26:13+00:00,-6.305,106.785,21,31,876,593,0.3226,False,1.0,FRC3
tt_kemang,Jl. Kemang Raya,2026-09-07T03:26:13+00:00,-6.26,106.815,21,28,1127,845,0.25,False,1.0,FRC3
tt_tendean,Jl. Kapt. Tendean,2026-09-07T03:26:13+00:00,-6.242,106.832,22,39,143,81,0.4359,False,1.0,FRC1
tt_mampang,Jl. Mampang Prapatan,2026-09-07T03:26:13+00:00,-6.248,106.828,28,35,1404,1123,0.2,False,1.0,FRC3
tt_ragunan,Jl. Ragunan (TMII),2026-09-07T03:26:13+00:00,-6.295,106.815,21,28,1127,845,0.25,False,1.0,FRC3
tt_lentengagung,Jl. Lenteng Agung,2026-09-07T03:26:13+00:00,-6.31,106.835,48,48,107,107,0.0,False,1.0,FRC2
tt_pondokindah,Jl. Pondok Indah,2026-09-07T03:26:13+00:00,-6.28,106.78,19,19,115,115,0.0,False,1.0,FRC3
tt_purikembangan,Jl. Puri Kembangan,2026-09-07T03:26:13+00:00,-6.205,106.73,77,77,307,307,0.0,False,1.0,FRC0
tt_kedoya,Jl. Kedoya Raya,2026-09-07T03:26:13+00:00,-6.195,106.755,21,28,1044,783,0.25,False,0.974009,FRC2
