split,horizon,model,samples,evaluated_points,MAE,RMSE
VALIDATION,1,Naive Persistence,51,714,2.4761904761904763,5.158550596602023
VALIDATION,1,Historical Average,51,714,3.9643143426756873,7.481862717033179
VALIDATION,3,Naive Persistence,50,700,3.2642857142857142,6.595344678526773
VALIDATION,3,Historical Average,50,700,3.983820409748981,7.537035015069584
VALIDATION,6,Naive Persistence,48,672,4.602678571428571,8.430828491175648
VALIDATION,6,Historical Average,48,672,3.9919936627525905,7.579703199125999
TEST,1,Naive Persistence,51,714,3.980392156862745,7.665265978490792
TEST,1,Historical Average,51,714,2.615332722055411,4.634425257895747
TEST,3,Naive Persistence,50,700,5.3757142857142854,9.657343615833794
TEST,3,Historical Average,50,700,2.602804211661355,4.630599442178065
TEST,6,Naive Persistence,48,672,7.303571428571429,11.39052446637325
TEST,6,Historical Average,48,672,2.544562918893276,4.5974219796954
