corridor,feature,method,validation_points,mae,rmse
Tol Jakarta-Cikampek,current_speed,forward_fill,12,1.6666666666666667,2.886751345948129
Tol Jakarta-Cikampek,current_speed,backward_fill,12,1.25,2.5
Tol Jakarta-Cikampek,current_speed,linear_interpolation,12,1.4583333333333333,2.3935677693908453
Tol Jakarta-Cikampek,congestion_ratio,forward_fill,12,0.07843137254901959,0.13584712216226488
Tol Jakarta-Cikampek,congestion_ratio,backward_fill,12,0.0588235294117647,0.1176470588235294
Tol Jakarta-Cikampek,congestion_ratio,linear_interpolation,12,0.06862745098039215,0.11263848326545152
Tol Jagorawi (Bogor),current_speed,forward_fill,12,3.25,4.769696007084728
Tol Jagorawi (Bogor),current_speed,backward_fill,12,4.5,5.873670062235365
Tol Jagorawi (Bogor),current_speed,linear_interpolation,12,3.375,4.529992641642294
Tol Jagorawi (Bogor),congestion_ratio,forward_fill,12,0.0722222222222222,0.1019553832823638
Tol Jagorawi (Bogor),congestion_ratio,backward_fill,12,0.09696969696969694,0.1248651621149613
Tol Jagorawi (Bogor),congestion_ratio,linear_interpolation,12,0.07340067340067337,0.0964379248867385
BSD/Serpong,current_speed,forward_fill,12,2.75,3.6170890690351176
BSD/Serpong,current_speed,backward_fill,12,3.1666666666666665,3.8944404818493075
BSD/Serpong,current_speed,linear_interpolation,12,2.9583333333333335,3.2945662334617993
BSD/Serpong,congestion_ratio,forward_fill,12,0.08063619387148796,0.10703123583759482
BSD/Serpong,congestion_ratio,backward_fill,12,0.09086028350734232,0.11229910410474592
BSD/Serpong,congestion_ratio,linear_interpolation,12,0.08574823868941515,0.09659794399648923
Cawang interchange,current_speed,forward_fill,12,4.833333333333333,6.48074069840786
Cawang interchange,current_speed,backward_fill,12,3.6666666666666665,5.477225575051661
Cawang interchange,current_speed,linear_interpolation,12,3.6666666666666665,4.712571838532897
Cawang interchange,congestion_ratio,forward_fill,12,0.10889627168696936,0.14585219315690556
Cawang interchange,congestion_ratio,backward_fill,12,0.08375649371111653,0.12460099820276174
Cawang interchange,congestion_ratio,linear_interpolation,12,0.08409862337826036,0.10605188133722267
Jl. Margonda (Depok),current_speed,forward_fill,12,2.1666666666666665,3.24037034920393
Jl. Margonda (Depok),current_speed,backward_fill,12,2.5,3.5355339059327378
Jl. Margonda (Depok),current_speed,linear_interpolation,12,2.0833333333333335,2.4238399287081647
Jl. Margonda (Depok),congestion_ratio,forward_fill,12,0.07375672043010752,0.10788409876162816
Jl. Margonda (Depok),congestion_ratio,backward_fill,12,0.08450940860215055,0.11713301933384208
Jl. Margonda (Depok),congestion_ratio,linear_interpolation,12,0.0691364247311828,0.080574513325797
Jl. Gatot Subroto,current_speed,forward_fill,12,9.75,15.217862311551295
