strategy,available_steps,missing_steps,num_sequences,longest_sequence,median_sequence,input_steps,horizon_steps,forecast_windows
raw,392,310,229,11,2.0,3,1,9
raw,392,310,229,11,2.0,3,3,6
raw,392,310,229,11,2.0,3,6,3
raw,392,310,229,11,2.0,6,1,5
raw,392,310,229,11,2.0,6,3,3
raw,392,310,229,11,2.0,6,6,0
raw,392,310,229,11,2.0,12,1,0
raw,392,310,229,11,2.0,12,3,0
raw,392,310,229,11,2.0,12,6,0
fill_1h_gap,619,83,2,612,309.5,3,1,613
fill_1h_gap,619,83,2,612,309.5,3,3,609
fill_1h_gap,619,83,2,612,309.5,3,6,604
fill_1h_gap,619,83,2,612,309.5,6,1,607
fill_1h_gap,619,83,2,612,309.5,6,3,604
fill_1h_gap,619,83,2,612,309.5,6,6,601
fill_1h_gap,619,83,2,612,309.5,12,1,600
fill_1h_gap,619,83,2,612,309.5,12,3,598
fill_1h_gap,619,83,2,612,309.5,12,6,595
fill_all,702,0,1,702,702.0,3,1,699
fill_all,702,0,1,702,702.0,3,3,697
fill_all,702,0,1,702,702.0,3,6,694
fill_all,702,0,1,702,702.0,6,1,696
fill_all,702,0,1,702,702.0,6,3,694
fill_all,702,0,1,702,702.0,6,6,691
fill_all,702,0,1,702,702.0,12,1,690
fill_all,702,0,1,702,702.0,12,3,688
fill_all,702,0,1,702,702.0,12,6,685
