num_corridors,common_timestamps,common_start,common_end,duration_hours,total_observations
10,392,2026-07-23 08:00:00+00:00,2026-08-21 13:00:00+00:00,701.0,3920
14,392,2026-07-23 08:00:00+00:00,2026-08-21 13:00:00+00:00,701.0,5488
20,140,2026-08-12 01:00:00+00:00,2026-08-21 13:00:00+00:00,228.0,6328
24,140,2026-08-12 01:00:00+00:00,2026-08-21 13:00:00+00:00,228.0,6888
30,138,2026-08-12 04:00:00+00:00,2026-08-21 13:00:00+00:00,225.0,7716
40,138,2026-08-12 04:00:00+00:00,2026-08-21 13:00:00+00:00,225.0,9096
54,138,2026-08-12 04:00:00+00:00,2026-08-21 13:00:00+00:00,225.0,11028
64,138,2026-08-12 04:00:00+00:00,2026-08-21 13:00:00+00:00,225.0,12408
80,50,2026-08-18 04:00:00+00:00,2026-08-21 13:00:00+00:00,81.0,13208
96,50,2026-08-18 04:00:00+00:00,2026-08-21 13:00:00+00:00,81.0,14008
