obs_time_utc,obs_time_wib,date_wib,hour_wib,day_wib,gap_hours,sequence_id
2026-07-23 08:00:00+00:00,2026-07-23 15:00:00+07:00,2026-07-23,15,Thursday,,1
2026-07-23 09:00:00+00:00,2026-07-23 16:00:00+07:00,2026-07-23,16,Thursday,1.0,1
2026-07-23 11:00:00+00:00,2026-07-23 18:00:00+07:00,2026-07-23,18,Thursday,2.0,2
2026-07-23 12:00:00+00:00,2026-07-23 19:00:00+07:00,2026-07-23,19,Thursday,1.0,2
2026-07-23 13:00:00+00:00,2026-07-23 20:00:00+07:00,2026-07-23,20,Thursday,1.0,2
2026-07-23 14:00:00+00:00,2026-07-23 21:00:00+07:00,2026-07-23,21,Thursday,1.0,2
2026-07-27 02:00:00+00:00,2026-07-27 09:00:00+07:00,2026-07-27,9,Monday,84.0,3
2026-07-27 03:00:00+00:00,2026-07-27 10:00:00+07:00,2026-07-27,10,Monday,1.0,3
2026-07-27 04:00:00+00:00,2026-07-27 11:00:00+07:00,2026-07-27,11,Monday,1.0,3
2026-07-27 06:00:00+00:00,2026-07-27 13:00:00+07:00,2026-07-27,13,Monday,2.0,4
2026-07-27 07:00:00+00:00,2026-07-27 14:00:00+07:00,2026-07-27,14,Monday,1.0,4
2026-07-27 08:00:00+00:00,2026-07-27 15:00:00+07:00,2026-07-27,15,Monday,1.0,4
2026-07-27 09:00:00+00:00,2026-07-27 16:00:00+07:00,2026-07-27,16,Monday,1.0,4
2026-07-27 10:00:00+00:00,2026-07-27 17:00:00+07:00,2026-07-27,17,Monday,1.0,4
2026-07-27 11:00:00+00:00,2026-07-27 18:00:00+07:00,2026-07-27,18,Monday,1.0,4
2026-07-27 12:00:00+00:00,2026-07-27 19:00:00+07:00,2026-07-27,19,Monday,1.0,4
2026-07-27 13:00:00+00:00,2026-07-27 20:00:00+07:00,2026-07-27,20,Monday,1.0,4
2026-07-27 14:00:00+00:00,2026-07-27 21:00:00+07:00,2026-07-27,21,Monday,1.0,4
2026-07-27 15:00:00+00:00,2026-07-27 22:00:00+07:00,2026-07-27,22,Monday,1.0,4
2026-07-27 16:00:00+00:00,2026-07-27 23:00:00+07:00,2026-07-27,23,Monday,1.0,4
2026-07-27 18:00:00+00:00,2026-07-28 01:00:00+07:00,2026-07-28,1,Tuesday,2.0,5
2026-07-27 19:00:00+00:00,2026-07-28 02:00:00+07:00,2026-07-28,2,Tuesday,1.0,5
2026-07-27 21:00:00+00:00,2026-07-28 04:00:00+07:00,2026-07-28,4,Tuesday,2.0,6
2026-07-27 22:00:00+00:00,2026-07-28 05:00:00+07:00,2026-07-28,5,Tuesday,1.0,6
2026-07-28 00:00:00+00:00,2026-07-28 07:00:00+07:00,2026-07-28,7,Tuesday,2.0,7
2026-07-28 02:00:00+00:00,2026-07-28 09:00:00+07:00,2026-07-28,9,Tuesday,2.0,8
2026-07-28 03:00:00+00:00,2026-07-28 10:00:00+07:00,2026-07-28,10,Tuesday,1.0,8
2026-07-28 05:00:00+00:00,2026-07-28 12:00:00+07:00,2026-07-28,12,Tuesday,2.0,9
2026-07-28 06:00:00+00:00,2026-07-28 13:00:00+07:00,2026-07-28,13,Tuesday,1.0,9
2026-07-28 08:00:00+00:00,2026-07-28 15:00:00+07:00,2026-07-28,15,Tuesday,2.0,10
2026-07-28 09:00:00+00:00,2026-07-28 16:00:00+07:00,2026-07-28,16,Tuesday,1.0,10
2026-07-28 11:00:00+00:00,2026-07-28 18:00:00+07:00,2026-07-28,18,Tuesday,2.0,11
2026-07-28 12:00:00+00:00,2026-07-28 19:00:00+07:00,2026-07-28,19,Tuesday,1.0,11
2026-07-28 14:00:00+00:00,2026-07-28 21:00:00+07:00,2026-07-28,21,Tuesday,2.0,12
2026-07-28 16:00:00+00:00,2026-07-28 23:00:00+07:00,2026-07-28,23,Tuesday,2.0,13
2026-07-28 17:00:00+00:00,2026-07-29 00:00:00+07:00,2026-07-29,0,Wednesday,1.0,13
2026-07-28 19:00:00+00:00,2026-07-29 02:00:00+07:00,2026-07-29,2,Wednesday,2.0,14
2026-07-28 20:00:00+00:00,2026-07-29 03:00:00+07:00,2026-07-29,3,Wednesday,1.0,14
