obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,20.0,27.0,322.0,238.0,0.2592592592592593,0.0,0.97
2026-08-18 05:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,27.0,27.0,238.0,238.0,0.0,0.0,1.0
2026-08-18 07:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,22.0,27.0,292.0,238.0,0.18518518518518523,0.0,0.96
2026-08-18 09:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,20.0,27.0,322.0,238.0,0.2592592592592593,0.0,0.99
2026-08-18 10:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,17.0,26.0,379.0,247.0,0.34615384615384615,0.0,1.0
2026-08-18 12:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,19.0,26.0,339.0,247.0,0.2692307692307693,0.0,1.0
2026-08-18 14:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,19.0,26.0,339.0,247.0,0.2692307692307693,0.0,1.0
2026-08-18 15:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,27.0,27.0,238.0,238.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,27.0,27.0,238.0,238.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,27.0,27.0,238.0,238.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,27.0,27.0,238.0,238.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,27.0,27.0,238.0,238.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,19.0,26.0,339.0,247.0,0.2692307692307693,0.0,0.986514
2026-08-19 01:00:00+00:00,Tol Depok-Antasari (Krukut),Jabodetabek,21.0,27.0,306.0,238.0,0.2222222222222222,0.0,0.97
