obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,20.0,29.0,1180.0,814.0,0.31034482758620685,0.0,0.958287
2026-08-12 06:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,20.0,28.0,1180.0,843.0,0.2857142857142857,0.0,0.966945
2026-08-12 07:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,19.0,28.0,1243.0,843.0,0.3214285714285714,0.0,0.978701
2026-08-12 09:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,19.0,28.0,1243.0,843.0,0.3214285714285714,0.0,0.970905
2026-08-12 11:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,19.0,29.0,1243.0,814.0,0.3448275862068966,0.0,0.986291
2026-08-12 12:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,21.0,28.0,1124.0,843.0,0.25,0.0,0.969166
2026-08-12 14:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,22.0,28.0,1073.0,843.0,0.2142857142857143,0.0,0.982616
2026-08-12 15:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,29.0,29.0,814.0,814.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,29.0,29.0,814.0,814.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,29.0,29.0,814.0,814.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,29.0,29.0,814.0,814.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,29.0,29.0,814.0,814.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,22.0,29.0,1073.0,814.0,0.24137931034482762,0.0,0.973527
2026-08-13 01:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,20.0,28.0,1180.0,843.0,0.2857142857142857,0.0,0.986696
2026-08-13 03:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,18.0,28.0,1312.0,843.0,0.3571428571428571,0.0,0.959702
2026-08-13 04:00:00+00:00,Jl. Raya Cakung-Cilincing,Jabodetabek,20.0,29.0,1180.0,814.0,0.31034482758620685,0.0,0.927468
