obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 05:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,26.0,33.0,851.0,671.0,0.21212121212121215,0.0,0.969759
2026-08-18 07:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 09:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,25.0,33.0,885.0,671.0,0.24242424242424243,0.0,0.964618
2026-08-18 10:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,25.0,33.0,885.0,671.0,0.24242424242424243,0.0,0.960504
2026-08-18 12:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 14:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,25.0,33.0,885.0,671.0,0.24242424242424243,0.0,0.978383
2026-08-19 01:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 03:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,26.0,33.0,851.0,671.0,0.21212121212121215,0.0,0.95907
2026-08-19 05:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 06:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 08:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,26.0,34.0,851.0,651.0,0.23529411764705888,0.0,0.919759
2026-08-19 10:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,25.0,33.0,885.0,671.0,0.24242424242424243,0.0,0.968252
2026-08-19 11:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,24.0,33.0,922.0,671.0,0.2727272727272727,0.0,0.97097
2026-08-19 13:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 15:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 16:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,27.0,33.0,820.0,671.0,0.18181818181818177,0.0,0.955046
2026-08-20 01:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-20 02:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,26.0,32.0,851.0,692.0,0.1875,0.0,0.949152
2026-08-20 04:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,24.0,33.0,922.0,671.0,0.2727272727272727,0.0,0.935621
2026-08-20 06:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,34.0,34.0,651.0,651.0,0.0,0.0,1.0
2026-08-20 07:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,26.0,33.0,851.0,671.0,0.21212121212121215,0.0,0.931422
2026-08-20 09:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,26.0,33.0,851.0,671.0,0.21212121212121215,0.0,0.976626
2026-08-20 11:00:00+00:00,Tol Cibitung-Cilincing (Tarumajaya),Jabodetabek,22.0,33.0,1006.0,671.0,0.33333333333333337,0.0,0.979878
