obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,26.0,38.0,1547.0,1058.0,0.3157894736842105,0.0,1.0
2026-08-18 05:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,29.0,38.0,1387.0,1058.0,0.23684210526315785,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,25.0,38.0,1609.0,1058.0,0.3421052631578947,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,24.0,38.0,1676.0,1058.0,0.368421052631579,0.0,1.0
2026-08-18 10:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,22.0,38.0,1829.0,1058.0,0.42105263157894735,0.0,1.0
2026-08-18 12:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,31.0,38.0,1298.0,1058.0,0.1842105263157895,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,28.0,38.0,1437.0,1058.0,0.26315789473684215,0.0,0.999367
2026-08-19 01:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,31.0,38.0,1298.0,1058.0,0.1842105263157895,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,28.0,38.0,1437.0,1058.0,0.26315789473684215,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,25.0,37.0,1609.0,1087.0,0.32432432432432434,0.0,0.996844
2026-08-19 06:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,25.0,38.0,1609.0,1058.0,0.3421052631578947,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,24.0,38.0,1676.0,1058.0,0.368421052631579,0.0,0.997462
2026-08-19 10:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,23.0,38.0,1749.0,1058.0,0.39473684210526316,0.0,1.0
2026-08-19 11:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,22.0,38.0,1829.0,1058.0,0.42105263157894735,0.0,0.99972
2026-08-19 13:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,28.0,37.0,1437.0,1087.0,0.2432432432432432,0.0,0.99868
2026-08-19 15:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,27.0,38.0,1490.0,1058.0,0.2894736842105263,0.0,0.995394
2026-08-20 01:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,29.0,37.0,1387.0,1087.0,0.21621621621621623,0.0,1.0
2026-08-20 02:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,26.0,38.0,1547.0,1058.0,0.3157894736842105,0.0,0.9966
2026-08-20 04:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,26.0,38.0,1547.0,1058.0,0.3157894736842105,0.0,0.996343
2026-08-20 06:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,30.0,37.0,1341.0,1087.0,0.18918918918918914,0.0,1.0
2026-08-20 07:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,25.0,38.0,1609.0,1058.0,0.3421052631578947,0.0,1.0
2026-08-20 09:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,20.0,38.0,2011.0,1058.0,0.4736842105263158,0.0,0.998937
2026-08-20 11:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,23.0,38.0,1749.0,1058.0,0.39473684210526316,0.0,1.0
2026-08-20 12:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,29.0,38.0,1387.0,1058.0,0.23684210526315785,0.0,1.0
2026-08-20 14:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-20 16:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-20 17:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-20 19:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-20 21:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-20 22:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
2026-08-21 00:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,24.0,38.0,1676.0,1058.0,0.368421052631579,0.0,0.998829
2026-08-21 02:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,28.0,37.0,1437.0,1087.0,0.2432432432432432,0.0,1.0
2026-08-21 03:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,26.0,38.0,1547.0,1058.0,0.3157894736842105,0.0,1.0
2026-08-21 05:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,30.0,38.0,1341.0,1058.0,0.21052631578947367,0.0,0.996162
2026-08-21 07:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,24.0,38.0,1676.0,1058.0,0.368421052631579,0.0,1.0
2026-08-21 08:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,24.0,38.0,1676.0,1058.0,0.368421052631579,0.0,1.0
2026-08-21 10:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,22.0,38.0,1829.0,1058.0,0.42105263157894735,0.0,0.998399
2026-08-21 12:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,27.0,38.0,1490.0,1058.0,0.2894736842105263,0.0,1.0
2026-08-21 13:00:00+00:00,Jl. Raya Serang (Cikupa),Jabodetabek,38.0,38.0,1058.0,1058.0,0.0,0.0,1.0
