obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.969191
2026-08-12 06:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.957885
2026-08-12 07:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.970195
2026-08-12 09:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,22.0,29.0,2789.0,2116.0,0.24137931034482762,0.0,0.971837
2026-08-12 11:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,22.0,30.0,2789.0,2045.0,0.2666666666666667,0.0,0.985816
2026-08-12 12:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.977166
2026-08-12 14:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-12 15:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.976908
2026-08-13 01:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 03:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.928183
2026-08-13 04:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.930988
2026-08-13 06:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 08:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.958107
2026-08-13 09:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,22.0,30.0,2789.0,2045.0,0.2666666666666667,0.0,0.983237
2026-08-13 11:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.97993
2026-08-13 13:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.98219
2026-08-13 14:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 16:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 17:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 19:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 21:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-13 22:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 00:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.961782
2026-08-14 02:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 03:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,29.0,2668.0,2116.0,0.2068965517241379,0.0,0.930516
2026-08-14 05:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 06:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.978458
2026-08-14 08:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,29.0,2668.0,2116.0,0.2068965517241379,0.0,0.965573
2026-08-14 10:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.979615
2026-08-14 11:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.983142
2026-08-14 13:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.979072
2026-08-14 14:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 16:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 18:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 19:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 21:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-14 23:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 00:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 02:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.949011
2026-08-15 03:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.960182
2026-08-15 05:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 07:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.98232
2026-08-15 08:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.96792
2026-08-15 10:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,21.0,30.0,2922.0,2045.0,0.30000000000000004,0.0,0.979505
2026-08-15 12:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,21.0,29.0,2922.0,2116.0,0.27586206896551724,0.0,0.963094
2026-08-15 13:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,22.0,30.0,2789.0,2045.0,0.2666666666666667,0.0,0.966778
2026-08-15 15:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 16:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 18:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 20:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 21:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-15 23:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 01:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 02:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 04:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.971899
2026-08-16 06:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 07:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 09:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.980228
2026-08-16 10:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,22.0,30.0,2789.0,2045.0,0.2666666666666667,0.0,0.970146
2026-08-16 12:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,22.0,29.0,2789.0,2116.0,0.24137931034482762,0.0,0.97948
2026-08-16 14:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.964862
2026-08-16 15:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 17:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 19:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 20:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 22:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-16 23:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-17 01:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-17 03:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,26.0,30.0,2360.0,2045.0,0.1333333333333333,0.0,0.954136
2026-08-17 04:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-17 06:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,25.0,29.0,2454.0,2116.0,0.13793103448275867,0.0,0.973207
2026-08-17 08:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-17 09:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.934849
2026-08-17 11:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,30.0,30.0,2045.0,2045.0,0.0,0.0,1.0
2026-08-17 13:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.966444
2026-08-17 14:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-17 16:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-17 17:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-17 19:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-17 21:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-17 22:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-18 00:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,30.0,2557.0,2045.0,0.19999999999999996,0.0,0.973379
2026-08-18 02:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,24.0,29.0,2557.0,2116.0,0.1724137931034483,0.0,0.958258
2026-08-18 04:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.954699
2026-08-18 05:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,30.0,2668.0,2045.0,0.23333333333333328,0.0,0.956147
2026-08-18 09:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,22.0,29.0,2789.0,2116.0,0.24137931034482762,0.0,0.969503
2026-08-18 10:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,21.0,30.0,2922.0,2045.0,0.30000000000000004,0.0,0.964432
2026-08-18 12:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,23.0,29.0,2668.0,2116.0,0.2068965517241379,0.0,0.972516
2026-08-18 14:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Raya Cilodong,Jabodetabek,29.0,29.0,2116.0,2116.0,0.0,0.0,1.0
