obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-18 05:00:00+00:00,Jl. Cinere Raya,Jabodetabek,21.0,26.0,327.0,264.0,0.1923076923076923,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Cinere Raya,Jabodetabek,20.0,25.0,343.0,275.0,0.19999999999999996,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Cinere Raya,Jabodetabek,19.0,25.0,362.0,275.0,0.24,0.0,1.0
2026-08-18 10:00:00+00:00,Jl. Cinere Raya,Jabodetabek,12.0,25.0,573.0,275.0,0.52,0.0,1.0
2026-08-18 12:00:00+00:00,Jl. Cinere Raya,Jabodetabek,12.0,26.0,573.0,264.0,0.5384615384615384,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Cinere Raya,Jabodetabek,20.0,25.0,343.0,275.0,0.19999999999999996,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Cinere Raya,Jabodetabek,26.0,26.0,264.0,264.0,0.0,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Cinere Raya,Jabodetabek,19.0,26.0,362.0,264.0,0.2692307692307693,0.0,0.99
2026-08-19 06:00:00+00:00,Jl. Cinere Raya,Jabodetabek,18.0,25.0,382.0,275.0,0.28,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Cinere Raya,Jabodetabek,16.0,26.0,429.0,264.0,0.3846153846153846,0.0,1.0
2026-08-19 10:00:00+00:00,Jl. Cinere Raya,Jabodetabek,17.0,24.0,404.0,286.0,0.29166666666666663,0.0,0.99
2026-08-19 11:00:00+00:00,Jl. Cinere Raya,Jabodetabek,11.0,25.0,625.0,275.0,0.56,0.0,1.0
2026-08-19 13:00:00+00:00,Jl. Cinere Raya,Jabodetabek,20.0,25.0,343.0,275.0,0.19999999999999996,0.0,1.0
