obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,20.0,27.0,648.0,480.0,0.2592592592592593,0.0,0.977272
2026-08-18 05:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,21.0,26.0,617.0,498.0,0.1923076923076923,0.0,0.99
2026-08-18 07:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,21.0,27.0,617.0,480.0,0.2222222222222222,0.0,0.984124
2026-08-18 09:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,21.0,26.0,617.0,498.0,0.1923076923076923,0.0,0.980802
2026-08-18 10:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,20.0,27.0,648.0,480.0,0.2592592592592593,0.0,0.997269
2026-08-18 12:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,17.0,27.0,762.0,480.0,0.37037037037037035,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,15.0,27.0,864.0,480.0,0.4444444444444444,0.0,0.983447
2026-08-19 01:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,20.0,28.0,648.0,463.0,0.2857142857142857,0.0,0.994
2026-08-19 03:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,22.0,27.0,589.0,480.0,0.18518518518518523,0.0,0.98
2026-08-19 05:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-19 06:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,23.0,27.0,563.0,480.0,0.14814814814814814,0.0,0.968565
2026-08-19 08:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,21.0,28.0,617.0,463.0,0.25,0.0,0.991699
2026-08-19 10:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,19.0,27.0,682.0,480.0,0.2962962962962963,0.0,0.991785
2026-08-19 11:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,20.0,27.0,648.0,480.0,0.2592592592592593,0.0,0.994668
2026-08-19 13:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,22.0,27.0,589.0,480.0,0.18518518518518523,0.0,1.0
2026-08-19 15:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Ir H Juanda (Ciputat),Jabodetabek,28.0,28.0,463.0,463.0,0.0,0.0,1.0
