obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 01:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-12 02:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,35.0,39.0,370.0,332.0,0.10256410256410253,0.0,1.0
2026-08-12 04:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,34.0,40.0,381.0,324.0,0.15000000000000002,0.0,1.0
2026-08-12 06:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,30.0,39.0,432.0,332.0,0.23076923076923073,0.0,1.0
2026-08-12 07:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,25.0,39.0,519.0,332.0,0.3589743589743589,0.0,1.0
2026-08-12 09:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,28.0,39.0,463.0,332.0,0.28205128205128205,0.0,1.0
2026-08-12 11:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,17.0,40.0,763.0,324.0,0.575,0.0,1.0
2026-08-12 12:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,31.0,39.0,418.0,332.0,0.20512820512820518,0.0,1.0
2026-08-12 14:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,34.0,39.0,381.0,332.0,0.1282051282051282,0.0,1.0
2026-08-12 15:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-13 01:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,39.0,39.0,332.0,332.0,0.0,0.0,1.0
2026-08-13 03:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,38.0,40.0,341.0,324.0,0.050000000000000044,0.0,1.0
2026-08-13 04:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,33.0,39.0,393.0,332.0,0.15384615384615385,0.0,1.0
2026-08-13 06:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,34.0,39.0,381.0,332.0,0.1282051282051282,0.0,1.0
2026-08-13 08:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,31.0,39.0,418.0,332.0,0.20512820512820518,0.0,1.0
2026-08-13 09:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,28.0,39.0,463.0,332.0,0.28205128205128205,0.0,1.0
2026-08-13 11:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,25.0,39.0,519.0,332.0,0.3589743589743589,0.0,1.0
2026-08-13 13:00:00+00:00,Jl. Daan Mogot (Grogol),Jabodetabek,32.0,39.0,405.0,332.0,0.17948717948717952,0.0,1.0
