obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,33.0,42.0,968.0,760.0,0.2142857142857143,0.0,1.0
2026-08-18 05:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,32.0,41.0,998.0,779.0,0.2195121951219512,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,31.0,41.0,1030.0,779.0,0.24390243902439024,0.0,1.0
2026-08-18 10:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,28.0,42.0,1140.0,760.0,0.33333333333333337,0.0,1.0
2026-08-18 12:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,32.0,41.0,998.0,779.0,0.2195121951219512,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,36.0,41.0,887.0,779.0,0.12195121951219512,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,35.0,42.0,912.0,760.0,0.16666666666666663,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,33.0,42.0,968.0,760.0,0.2142857142857143,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,26.0,43.0,1228.0,742.0,0.39534883720930236,0.0,1.0
2026-08-19 06:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,32.0,42.0,998.0,760.0,0.23809523809523814,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,32.0,42.0,998.0,760.0,0.23809523809523814,0.0,1.0
2026-08-19 10:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,31.0,41.0,1030.0,779.0,0.24390243902439024,0.0,1.0
2026-08-19 11:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,31.0,41.0,1030.0,779.0,0.24390243902439024,0.0,1.0
2026-08-19 13:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,34.0,42.0,939.0,760.0,0.19047619047619047,0.0,1.0
2026-08-19 15:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,42.0,42.0,760.0,760.0,0.0,0.0,1.0
2026-08-20 01:00:00+00:00,Jl. Daan Mogot KM19 (Batuceper),Jabodetabek,34.0,41.0,939.0,779.0,0.1707317073170732,0.0,1.0
