obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-07-23 08:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.963845
2026-07-23 09:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,23.0,31.0,2397.0,1778.0,0.25806451612903225,0.0,0.982528
2026-07-23 11:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,25.0,31.0,2205.0,1778.0,0.19354838709677424,0.0,0.988949
2026-07-23 12:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.994845
2026-07-23 13:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.993347
2026-07-23 14:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 02:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 03:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 04:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.965876
2026-07-27 06:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.954199
2026-07-27 07:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 08:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 09:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,25.0,31.0,2205.0,1778.0,0.19354838709677424,0.0,0.977907
2026-07-27 10:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,23.0,32.0,2397.0,1722.0,0.28125,0.0,0.989211
2026-07-27 11:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.986715
2026-07-27 12:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,25.0,31.0,2205.0,1778.0,0.19354838709677424,0.0,0.998255
2026-07-27 13:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,24.0,31.0,2297.0,1778.0,0.22580645161290325,0.0,0.995604
2026-07-27 14:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 15:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 16:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 18:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 19:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 21:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-27 22:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-28 00:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.971683
2026-07-28 02:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-28 03:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-28 05:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.975017
2026-07-28 06:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-28 08:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.97794
2026-07-28 09:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,25.0,31.0,2205.0,1778.0,0.19354838709677424,0.0,0.986989
2026-07-28 11:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.99365
2026-07-28 12:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,24.0,31.0,2297.0,1778.0,0.22580645161290325,0.0,0.992407
2026-07-28 14:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.16129032258064513,0.0,0.991049
2026-07-28 16:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
2026-07-28 17:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0
