obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,21.0,715.0,476.0,0.33333333333333337,0.0,0.95288
2026-08-12 06:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,22.0,625.0,455.0,0.2727272727272727,0.0,0.916061
2026-08-12 07:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,21.0,715.0,476.0,0.33333333333333337,0.0,0.92201
2026-08-12 09:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,21.0,715.0,476.0,0.33333333333333337,0.0,0.95142
2026-08-12 11:00:00+00:00,Jl. Gajah Mada,Jabodetabek,12.0,22.0,834.0,455.0,0.4545454545454546,0.0,0.967926
2026-08-12 12:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,21.0,589.0,476.0,0.19047619047619047,0.0,0.98403
2026-08-12 14:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,20.0,589.0,500.0,0.15000000000000002,0.0,0.972333
2026-08-12 15:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 01:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 03:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 04:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,21.0,625.0,476.0,0.23809523809523814,0.0,0.966618
2026-08-13 06:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,20.0,667.0,500.0,0.25,0.0,0.918562
2026-08-13 08:00:00+00:00,Jl. Gajah Mada,Jabodetabek,13.0,21.0,770.0,476.0,0.38095238095238093,0.0,0.934946
2026-08-13 09:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,21.0,715.0,476.0,0.33333333333333337,0.0,0.959752
2026-08-13 11:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,22.0,715.0,455.0,0.36363636363636365,0.0,0.983627
2026-08-13 13:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,21.0,667.0,476.0,0.2857142857142857,0.0,0.972366
2026-08-13 14:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 16:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 17:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 19:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 21:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-13 22:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 00:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 02:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 03:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,21.0,589.0,476.0,0.19047619047619047,0.0,0.955302
2026-08-14 05:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 06:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,22.0,667.0,455.0,0.31818181818181823,0.0,0.961621
2026-08-14 08:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,21.0,625.0,476.0,0.23809523809523814,0.0,0.898257
2026-08-14 10:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,22.0,715.0,455.0,0.36363636363636365,0.0,0.931028
2026-08-14 11:00:00+00:00,Jl. Gajah Mada,Jabodetabek,13.0,21.0,770.0,476.0,0.38095238095238093,0.0,0.974846
2026-08-14 13:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,21.0,667.0,476.0,0.2857142857142857,0.0,0.971963
2026-08-14 14:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 16:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 18:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 19:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 21:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-14 23:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 00:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 02:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 03:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 05:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,22.0,715.0,455.0,0.36363636363636365,0.0,0.946136
2026-08-15 07:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,21.0,667.0,476.0,0.2857142857142857,0.0,0.957775
2026-08-15 08:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,22.0,667.0,455.0,0.31818181818181823,0.0,0.935051
2026-08-15 10:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,20.0,625.0,500.0,0.19999999999999996,0.0,0.905461
2026-08-15 12:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,21.0,715.0,476.0,0.33333333333333337,0.0,0.961945
2026-08-15 13:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,21.0,667.0,476.0,0.2857142857142857,0.0,0.980158
2026-08-15 15:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 16:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 18:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 20:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 21:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-15 23:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 01:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 02:00:00+00:00,Jl. Gajah Mada,Jabodetabek,18.0,22.0,556.0,455.0,0.18181818181818177,0.0,0.843897
2026-08-16 04:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 06:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 07:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 09:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 10:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,21.0,589.0,476.0,0.19047619047619047,0.0,0.826097
2026-08-16 12:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,20.0,589.0,500.0,0.15000000000000002,0.0,0.880465
2026-08-16 14:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,20.0,625.0,500.0,0.19999999999999996,0.0,0.900439
2026-08-16 15:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 17:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 19:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 20:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 22:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-16 23:00:00+00:00,Jl. Gajah Mada,Jabodetabek,18.0,21.0,556.0,476.0,0.1428571428571429,0.0,0.900181
2026-08-17 01:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 03:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 04:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 06:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 08:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,18.0,589.0,556.0,0.05555555555555558,1.0,0.739265
2026-08-17 09:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,18.0,715.0,556.0,0.2222222222222222,1.0,0.741974
2026-08-17 11:00:00+00:00,Jl. Gajah Mada,Jabodetabek,13.0,18.0,770.0,556.0,0.2777777777777778,1.0,0.859015
2026-08-17 13:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,21.0,715.0,476.0,0.33333333333333337,0.0,0.932553
2026-08-17 14:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,21.0,625.0,476.0,0.23809523809523814,0.0,0.976337
2026-08-17 16:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 17:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 19:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 21:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-17 22:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 00:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 02:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 04:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,21.0,625.0,476.0,0.23809523809523814,0.0,0.95477
2026-08-18 05:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,20.0,715.0,500.0,0.30000000000000004,0.0,0.971733
2026-08-18 09:00:00+00:00,Jl. Gajah Mada,Jabodetabek,14.0,21.0,715.0,476.0,0.33333333333333337,0.0,0.96412
2026-08-18 10:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,21.0,625.0,476.0,0.23809523809523814,0.0,0.938059
2026-08-18 12:00:00+00:00,Jl. Gajah Mada,Jabodetabek,16.0,21.0,625.0,476.0,0.23809523809523814,0.0,0.967297
2026-08-18 14:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,21.0,589.0,476.0,0.19047619047619047,0.0,0.968857
2026-08-18 15:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,21.0,589.0,476.0,0.19047619047619047,0.0,0.974371
2026-08-19 03:00:00+00:00,Jl. Gajah Mada,Jabodetabek,21.0,21.0,476.0,476.0,0.0,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Gajah Mada,Jabodetabek,17.0,21.0,589.0,476.0,0.19047619047619047,0.0,0.97312
2026-08-19 06:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,22.0,667.0,455.0,0.31818181818181823,0.0,0.941251
2026-08-19 08:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,21.0,667.0,476.0,0.2857142857142857,0.0,0.95247
2026-08-19 10:00:00+00:00,Jl. Gajah Mada,Jabodetabek,15.0,21.0,667.0,476.0,0.2857142857142857,0.0,0.935949
