obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-07-23 08:00:00+00:00,Grogol,Jabodetabek,34.0,40.0,358.0,304.0,0.15000000000000002,0.0,1.0
2026-07-23 09:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.22499999999999998,0.0,0.996927
2026-07-23 11:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.22499999999999998,0.0,1.0
2026-07-23 12:00:00+00:00,Grogol,Jabodetabek,30.0,40.0,406.0,304.0,0.25,0.0,1.0
2026-07-23 13:00:00+00:00,Grogol,Jabodetabek,34.0,40.0,358.0,304.0,0.15000000000000002,0.0,0.997806
2026-07-23 14:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 02:00:00+00:00,Grogol,Jabodetabek,28.0,40.0,435.0,304.0,0.30000000000000004,0.0,1.0
2026-07-27 03:00:00+00:00,Grogol,Jabodetabek,27.0,40.0,451.0,304.0,0.32499999999999996,0.0,0.998509
2026-07-27 04:00:00+00:00,Grogol,Jabodetabek,33.0,40.0,369.0,304.0,0.17500000000000004,0.0,0.997641
2026-07-27 06:00:00+00:00,Grogol,Jabodetabek,30.0,39.0,406.0,312.0,0.23076923076923073,0.0,0.996147
2026-07-27 07:00:00+00:00,Grogol,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,1.0
2026-07-27 08:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.22499999999999998,0.0,1.0
2026-07-27 09:00:00+00:00,Grogol,Jabodetabek,30.0,40.0,406.0,304.0,0.25,0.0,1.0
2026-07-27 10:00:00+00:00,Grogol,Jabodetabek,29.0,40.0,420.0,304.0,0.275,0.0,1.0
2026-07-27 11:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.22499999999999998,0.0,1.0
2026-07-27 12:00:00+00:00,Grogol,Jabodetabek,34.0,40.0,358.0,304.0,0.15000000000000002,0.0,1.0
2026-07-27 13:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 14:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 15:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 16:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 18:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 19:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 21:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-27 22:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-28 00:00:00+00:00,Grogol,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,1.0
2026-07-28 02:00:00+00:00,Grogol,Jabodetabek,30.0,40.0,406.0,304.0,0.25,0.0,1.0
2026-07-28 03:00:00+00:00,Grogol,Jabodetabek,27.0,40.0,451.0,304.0,0.32499999999999996,0.0,1.0
2026-07-28 05:00:00+00:00,Grogol,Jabodetabek,33.0,40.0,369.0,304.0,0.17500000000000004,0.0,1.0
2026-07-28 06:00:00+00:00,Grogol,Jabodetabek,30.0,40.0,406.0,304.0,0.25,0.0,1.0
2026-07-28 08:00:00+00:00,Grogol,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,1.0
2026-07-28 09:00:00+00:00,Grogol,Jabodetabek,33.0,40.0,369.0,304.0,0.17500000000000004,0.0,1.0
2026-07-28 11:00:00+00:00,Grogol,Jabodetabek,34.0,40.0,358.0,304.0,0.15000000000000002,0.0,1.0
2026-07-28 12:00:00+00:00,Grogol,Jabodetabek,33.0,39.0,369.0,312.0,0.15384615384615385,0.0,1.0
2026-07-28 14:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-28 16:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-28 17:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-28 19:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-28 20:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-28 22:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-07-28 23:00:00+00:00,Grogol,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,0.99925
2026-07-29 01:00:00+00:00,Grogol,Jabodetabek,31.0,39.0,393.0,312.0,0.20512820512820518,0.0,1.0
2026-07-29 03:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.22499999999999998,0.0,1.0
2026-07-29 04:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.22499999999999998,0.0,1.0
2026-07-29 06:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.22499999999999998,0.0,1.0
2026-07-29 07:00:00+00:00,Grogol,Jabodetabek,32.0,39.0,381.0,312.0,0.17948717948717952,0.0,1.0
2026-07-29 09:00:00+00:00,Grogol,Jabodetabek,29.0,40.0,420.0,304.0,0.275,0.0,0.998214
2026-07-29 11:00:00+00:00,Grogol,Jabodetabek,36.0,40.0,338.0,304.0,0.09999999999999998,0.0,1.0
2026-07-29 12:00:00+00:00,Grogol,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,1.0
2026-07-29 14:00:00+00:00,Grogol,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,0.997806
2026-07-29 15:00:00+00:00,Grogol,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
