obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-18 05:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,24.0,34.0,429.0,303.0,0.2941176470588235,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-18 10:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,23.0,33.0,448.0,312.0,0.303030303030303,0.0,1.0
2026-08-18 12:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,25.0,33.0,412.0,312.0,0.24242424242424243,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,27.0,34.0,382.0,303.0,0.20588235294117652,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 06:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,18.0,34.0,573.0,303.0,0.47058823529411764,0.0,1.0
2026-08-19 10:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,23.0,34.0,448.0,303.0,0.32352941176470584,0.0,1.0
2026-08-19 11:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,17.0,33.0,606.0,312.0,0.48484848484848486,0.0,1.0
2026-08-19 13:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,22.0,33.0,469.0,312.0,0.33333333333333337,0.0,1.0
2026-08-19 15:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,27.0,33.0,382.0,312.0,0.18181818181818177,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-20 01:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-20 02:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-20 04:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-20 06:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,33.0,33.0,312.0,312.0,0.0,0.0,1.0
2026-08-20 07:00:00+00:00,Jl. Ir H Juanda (Depok),Jabodetabek,26.0,33.0,396.0,312.0,0.21212121212121215,0.0,1.0
