obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,20.0,29.0,1096.0,756.0,0.31034482758620685,0.0,0.990343
2026-08-12 06:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,18.0,28.0,1218.0,783.0,0.3571428571428571,0.0,0.989851
2026-08-12 07:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,17.0,29.0,1290.0,756.0,0.4137931034482759,0.0,0.979817
2026-08-12 09:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,16.0,29.0,1370.0,756.0,0.4482758620689655,0.0,0.980852
2026-08-12 11:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,18.0,29.0,1218.0,756.0,0.3793103448275862,0.0,0.992251
2026-08-12 12:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,18.0,28.0,1218.0,783.0,0.3571428571428571,0.0,0.99012
2026-08-12 14:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,22.0,29.0,996.0,756.0,0.24137931034482762,0.0,0.982289
2026-08-12 15:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,22.0,29.0,996.0,756.0,0.24137931034482762,0.0,0.994588
2026-08-13 01:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,20.0,29.0,1096.0,756.0,0.31034482758620685,0.0,0.997883
2026-08-13 03:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,19.0,29.0,1154.0,756.0,0.3448275862068966,0.0,0.9822
2026-08-13 04:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,19.0,29.0,1154.0,756.0,0.3448275862068966,0.0,0.990335
2026-08-13 06:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,19.0,28.0,1154.0,783.0,0.3214285714285714,0.0,0.980856
2026-08-13 08:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,18.0,29.0,1218.0,756.0,0.3793103448275862,0.0,0.983812
2026-08-13 09:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,17.0,28.0,1290.0,783.0,0.3928571428571429,0.0,0.982361
2026-08-13 11:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,17.0,29.0,1290.0,756.0,0.4137931034482759,0.0,0.992295
2026-08-13 13:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,20.0,29.0,1096.0,756.0,0.31034482758620685,0.0,0.983318
2026-08-13 14:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,23.0,28.0,953.0,783.0,0.1785714285714286,0.0,0.983805
2026-08-13 16:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
2026-08-13 17:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
2026-08-13 19:00:00+00:00,Jl. Kedoya Raya,Jabodetabek,29.0,29.0,756.0,756.0,0.0,0.0,1.0
