obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 06:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 07:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 09:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 11:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 12:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 14:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 15:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,43.0,48.0,120.0,107.0,0.10416666666666663,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 01:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,34.0,46.0,151.0,112.0,0.26086956521739135,0.0,1.0
2026-08-13 03:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 04:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 06:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 08:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 09:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 11:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 13:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,38.0,47.0,135.0,109.0,0.19148936170212771,0.0,1.0
2026-08-13 14:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 16:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 17:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 19:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 21:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-13 22:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 00:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 02:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 03:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 05:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 06:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 08:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 10:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,39.0,47.0,132.0,109.0,0.17021276595744683,0.0,1.0
2026-08-14 11:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,38.0,48.0,135.0,107.0,0.20833333333333337,0.0,1.0
2026-08-14 13:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 14:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,38.0,47.0,135.0,109.0,0.19148936170212771,0.0,1.0
2026-08-14 16:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 18:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 19:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 21:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-14 23:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 00:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 02:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 03:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 05:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 07:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 08:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 10:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 12:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 13:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 15:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,39.0,47.0,132.0,109.0,0.17021276595744683,0.0,1.0
2026-08-15 16:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 18:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 20:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 21:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-15 23:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 01:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 02:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,40.0,47.0,129.0,109.0,0.14893617021276595,0.0,1.0
2026-08-16 04:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,40.0,47.0,129.0,109.0,0.14893617021276595,0.0,1.0
2026-08-16 06:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 07:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 09:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 10:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 12:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 14:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 15:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 17:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 19:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 20:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 22:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-16 23:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 01:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 03:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 04:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 06:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 08:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 09:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 11:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 13:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 14:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 16:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 17:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 19:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 21:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-17 22:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 00:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 02:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,38.0,48.0,135.0,107.0,0.20833333333333337,0.0,1.0
2026-08-18 04:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 05:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,37.0,47.0,139.0,109.0,0.21276595744680848,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 10:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 12:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,39.0,47.0,132.0,109.0,0.17021276595744683,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 06:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 10:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,34.0,48.0,151.0,107.0,0.29166666666666663,0.0,1.0
2026-08-19 11:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 13:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 15:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,41.0,47.0,126.0,109.0,0.12765957446808507,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,36.0,47.0,143.0,109.0,0.23404255319148937,0.0,0.975721
2026-08-19 18:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 01:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 02:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,21.0,46.0,246.0,112.0,0.5434782608695652,0.0,1.0
2026-08-20 04:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 06:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 07:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 09:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 11:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 12:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
2026-08-20 14:00:00+00:00,Jl. Lenteng Agung,Jabodetabek,48.0,48.0,107.0,107.0,0.0,0.0,1.0
