obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 01:00:00+00:00,Jl. Majapahit,Jabodetabek,29.0,40.0,420.0,304.0,0.275,0.0,1.0
2026-08-12 02:00:00+00:00,Jl. Majapahit,Jabodetabek,26.0,39.0,468.0,312.0,0.33333333333333337,0.0,1.0
2026-08-12 04:00:00+00:00,Jl. Majapahit,Jabodetabek,28.0,40.0,435.0,304.0,0.30000000000000004,0.0,0.99915
2026-08-12 06:00:00+00:00,Jl. Majapahit,Jabodetabek,29.0,41.0,420.0,297.0,0.29268292682926833,0.0,1.0
2026-08-12 07:00:00+00:00,Jl. Majapahit,Jabodetabek,26.0,40.0,468.0,304.0,0.35,0.0,1.0
2026-08-12 09:00:00+00:00,Jl. Majapahit,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,0.996933
2026-08-12 11:00:00+00:00,Jl. Majapahit,Jabodetabek,30.0,40.0,406.0,304.0,0.25,0.0,1.0
2026-08-12 12:00:00+00:00,Jl. Majapahit,Jabodetabek,33.0,40.0,369.0,304.0,0.17500000000000004,0.0,1.0
2026-08-12 14:00:00+00:00,Jl. Majapahit,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-08-12 15:00:00+00:00,Jl. Majapahit,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Majapahit,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Majapahit,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Majapahit,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Majapahit,Jabodetabek,40.0,40.0,304.0,304.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Majapahit,Jabodetabek,35.0,40.0,348.0,304.0,0.125,0.0,1.0
2026-08-13 01:00:00+00:00,Jl. Majapahit,Jabodetabek,32.0,40.0,381.0,304.0,0.19999999999999996,0.0,1.0
2026-08-13 03:00:00+00:00,Jl. Majapahit,Jabodetabek,28.0,40.0,435.0,304.0,0.30000000000000004,0.0,1.0
2026-08-13 04:00:00+00:00,Jl. Majapahit,Jabodetabek,29.0,40.0,420.0,304.0,0.275,0.0,1.0
