obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,23.0,27.0,1585.0,1351.0,0.14814814814814814,0.0,0.994527
2026-08-18 05:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,22.0,27.0,1658.0,1351.0,0.18518518518518523,0.0,0.992656
2026-08-18 07:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,21.0,27.0,1737.0,1351.0,0.2222222222222222,0.0,0.996
2026-08-18 09:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,20.0,27.0,1823.0,1351.0,0.2592592592592593,0.0,0.995968
2026-08-18 10:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,19.0,27.0,1919.0,1351.0,0.2962962962962963,0.0,1.0
2026-08-18 12:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,21.0,27.0,1737.0,1351.0,0.2222222222222222,0.0,0.997623
2026-08-18 14:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,27.0,27.0,1351.0,1351.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,27.0,27.0,1351.0,1351.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,27.0,27.0,1351.0,1351.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,27.0,27.0,1351.0,1351.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,27.0,27.0,1351.0,1351.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,27.0,27.0,1351.0,1351.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,22.0,27.0,1658.0,1351.0,0.18518518518518523,0.0,0.998144
2026-08-19 01:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,22.0,27.0,1658.0,1351.0,0.18518518518518523,0.0,0.999616
2026-08-19 03:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,23.0,27.0,1585.0,1351.0,0.14814814814814814,0.0,0.992535
2026-08-19 05:00:00+00:00,Jl. Raya Narogong (Rawalumbu),Jabodetabek,22.0,26.0,1658.0,1402.0,0.15384615384615385,0.0,0.992065
