obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Otista Raya,Jabodetabek,19.0,24.0,568.0,449.0,0.20833333333333337,0.0,0.976178
2026-08-12 06:00:00+00:00,Jl. Otista Raya,Jabodetabek,18.0,24.0,599.0,449.0,0.25,0.0,0.92772
2026-08-12 07:00:00+00:00,Jl. Otista Raya,Jabodetabek,19.0,23.0,568.0,469.0,0.17391304347826086,0.0,0.97323
2026-08-12 09:00:00+00:00,Jl. Otista Raya,Jabodetabek,18.0,24.0,599.0,449.0,0.25,0.0,0.98
2026-08-12 11:00:00+00:00,Jl. Otista Raya,Jabodetabek,19.0,24.0,568.0,449.0,0.20833333333333337,0.0,0.994172
2026-08-12 12:00:00+00:00,Jl. Otista Raya,Jabodetabek,18.0,24.0,599.0,449.0,0.25,0.0,1.0
2026-08-12 14:00:00+00:00,Jl. Otista Raya,Jabodetabek,20.0,23.0,539.0,469.0,0.13043478260869568,0.0,0.989028
2026-08-12 15:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 01:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 03:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 04:00:00+00:00,Jl. Otista Raya,Jabodetabek,19.0,24.0,568.0,449.0,0.20833333333333337,0.0,0.947169
2026-08-13 06:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 08:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 09:00:00+00:00,Jl. Otista Raya,Jabodetabek,18.0,24.0,599.0,449.0,0.25,0.0,0.982347
2026-08-13 11:00:00+00:00,Jl. Otista Raya,Jabodetabek,19.0,24.0,568.0,449.0,0.20833333333333337,0.0,0.994412
2026-08-13 13:00:00+00:00,Jl. Otista Raya,Jabodetabek,18.0,24.0,599.0,449.0,0.25,0.0,0.99
2026-08-13 14:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 16:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 17:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 19:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 21:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-13 22:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-14 00:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-14 02:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-14 03:00:00+00:00,Jl. Otista Raya,Jabodetabek,20.0,24.0,539.0,449.0,0.16666666666666663,0.0,0.976715
2026-08-14 05:00:00+00:00,Jl. Otista Raya,Jabodetabek,24.0,24.0,449.0,449.0,0.0,0.0,1.0
2026-08-14 06:00:00+00:00,Jl. Otista Raya,Jabodetabek,19.0,24.0,568.0,449.0,0.20833333333333337,0.0,0.96
2026-08-14 08:00:00+00:00,Jl. Otista Raya,Jabodetabek,16.0,24.0,674.0,449.0,0.33333333333333337,0.0,0.973043
