obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,26.0,298.0,229.0,0.23076923076923073,0.0,0.864857
2026-08-12 06:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,19.0,27.0,314.0,221.0,0.2962962962962963,0.0,0.758235
2026-08-12 07:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,27.0,298.0,221.0,0.2592592592592593,0.0,0.886891
2026-08-12 09:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,27.0,298.0,221.0,0.2592592592592593,0.0,0.806546
2026-08-12 11:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,17.0,26.0,351.0,229.0,0.34615384615384615,0.0,0.939936
2026-08-12 12:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,18.0,26.0,331.0,229.0,0.3076923076923077,0.0,0.957052
2026-08-12 14:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,18.0,26.0,331.0,229.0,0.3076923076923077,0.0,0.786945
2026-08-12 15:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,27.0,284.0,221.0,0.2222222222222222,0.0,0.900557
2026-08-13 01:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,27.0,284.0,221.0,0.2222222222222222,0.0,0.781974
2026-08-13 03:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,27.0,298.0,221.0,0.2592592592592593,0.0,0.919644
2026-08-13 04:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,26.0,298.0,229.0,0.23076923076923073,0.0,0.929873
2026-08-13 06:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,19.0,26.0,314.0,229.0,0.2692307692307693,0.0,0.774793
2026-08-13 08:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,26.0,284.0,229.0,0.1923076923076923,0.0,0.859841
2026-08-13 09:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,19.0,27.0,314.0,221.0,0.2962962962962963,0.0,0.95
2026-08-13 11:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-13 13:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,19.0,27.0,314.0,221.0,0.2962962962962963,0.0,0.925884
2026-08-13 14:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-13 16:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-13 17:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-13 19:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-13 21:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-13 22:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 00:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 02:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 03:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,19.0,27.0,314.0,221.0,0.2962962962962963,0.0,0.764932
2026-08-14 05:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 06:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,26.0,284.0,229.0,0.1923076923076923,0.0,0.864793
2026-08-14 08:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 10:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,17.0,27.0,351.0,221.0,0.37037037037037035,0.0,0.92526
2026-08-14 11:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,27.0,298.0,221.0,0.2592592592592593,0.0,0.94
2026-08-14 13:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,27.0,284.0,221.0,0.2222222222222222,0.0,0.946208
2026-08-14 14:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 16:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 18:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 19:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 21:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-14 23:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,25.0,27.0,238.0,221.0,0.07407407407407407,0.0,0.732921
2026-08-15 00:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,27.0,298.0,221.0,0.2592592592592593,0.0,0.890542
2026-08-15 02:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,27.0,284.0,221.0,0.2222222222222222,0.0,0.875699
2026-08-15 03:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,27.0,284.0,221.0,0.2222222222222222,0.0,0.942535
2026-08-15 05:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 07:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 08:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 10:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,22.0,26.0,271.0,229.0,0.15384615384615385,0.0,0.805582
2026-08-15 12:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,20.0,26.0,298.0,229.0,0.23076923076923073,0.0,0.951178
2026-08-15 13:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,26.0,284.0,229.0,0.1923076923076923,0.0,0.909841
2026-08-15 15:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 16:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 18:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 20:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 21:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-15 23:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,23.0,27.0,259.0,221.0,0.14814814814814814,0.0,0.742495
2026-08-16 01:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,23.0,26.0,259.0,229.0,0.11538461538461542,0.0,0.838446
2026-08-16 02:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,19.0,27.0,314.0,221.0,0.2962962962962963,0.0,0.918824
2026-08-16 04:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,21.0,26.0,284.0,229.0,0.1923076923076923,0.0,0.889841
2026-08-16 06:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-16 07:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-16 09:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,18.0,27.0,331.0,221.0,0.33333333333333337,0.0,0.873155
2026-08-16 10:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,18.0,26.0,331.0,229.0,0.3076923076923077,0.0,0.894889
2026-08-16 12:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-16 14:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-16 15:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-16 17:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
2026-08-16 19:00:00+00:00,Jl. Perintis Kemerdekaan,Jabodetabek,27.0,27.0,221.0,221.0,0.0,0.0,1.0
