obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-12 04:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-12 06:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-12 07:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,22.0,29.0,1198.0,909.0,0.24137931034482762,0.0,0.989087
2026-08-12 09:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,19.0,29.0,1388.0,909.0,0.3448275862068966,0.0,0.99602
2026-08-12 11:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,18.0,28.0,1465.0,941.0,0.3571428571428571,0.0,1.0
2026-08-12 12:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,18.0,29.0,1465.0,909.0,0.3793103448275862,0.0,1.0
2026-08-12 14:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,22.0,28.0,1198.0,941.0,0.2142857142857143,0.0,1.0
2026-08-12 15:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-12 17:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-12 19:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-12 20:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-12 22:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-13 00:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,23.0,29.0,1146.0,909.0,0.2068965517241379,0.0,0.985847
2026-08-13 01:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,24.0,28.0,1098.0,941.0,0.1428571428571429,0.0,0.990198
2026-08-13 03:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-13 04:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,24.0,29.0,1098.0,909.0,0.1724137931034483,0.0,0.95413
2026-08-13 06:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,23.0,29.0,1146.0,909.0,0.2068965517241379,0.0,0.97746
2026-08-13 08:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,23.0,29.0,1146.0,909.0,0.2068965517241379,0.0,0.990384
2026-08-13 09:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,20.0,29.0,1318.0,909.0,0.31034482758620685,0.0,0.994196
2026-08-13 11:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,19.0,29.0,1388.0,909.0,0.3448275862068966,0.0,1.0
2026-08-13 13:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,22.0,29.0,1198.0,909.0,0.24137931034482762,0.0,1.0
2026-08-13 14:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-13 16:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-13 17:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-13 19:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-13 21:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-13 22:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-14 00:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-14 02:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,26.0,28.0,1014.0,941.0,0.0714285714285714,0.0,0.991056
2026-08-14 03:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,26.0,28.0,1014.0,941.0,0.0714285714285714,0.0,0.979436
2026-08-14 05:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-14 06:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,23.0,29.0,1146.0,909.0,0.2068965517241379,0.0,0.988222
2026-08-14 08:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,22.0,28.0,1198.0,941.0,0.2142857142857143,0.0,0.990679
2026-08-14 10:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,21.0,29.0,1255.0,909.0,0.27586206896551724,0.0,0.995573
2026-08-14 11:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,21.0,28.0,1255.0,941.0,0.25,0.0,1.0
2026-08-14 13:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,21.0,28.0,1255.0,941.0,0.25,0.0,0.999346
2026-08-14 14:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,24.0,28.0,1098.0,941.0,0.1428571428571429,0.0,0.9968
2026-08-14 16:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-14 18:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
2026-08-14 19:00:00+00:00,Jl. Raya Pos Pengumben,Jabodetabek,28.0,28.0,941.0,941.0,0.0,0.0,1.0
