obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-18 05:00:00+00:00,Jl. Raya Serpong,Jabodetabek,37.0,40.0,650.0,601.0,0.07499999999999996,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Raya Serpong,Jabodetabek,35.0,40.0,687.0,601.0,0.125,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Raya Serpong,Jabodetabek,32.0,40.0,751.0,601.0,0.19999999999999996,0.0,1.0
2026-08-18 10:00:00+00:00,Jl. Raya Serpong,Jabodetabek,31.0,41.0,776.0,586.0,0.24390243902439024,0.0,1.0
2026-08-18 12:00:00+00:00,Jl. Raya Serpong,Jabodetabek,33.0,40.0,729.0,601.0,0.17500000000000004,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Raya Serpong,Jabodetabek,35.0,40.0,687.0,601.0,0.125,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Raya Serpong,Jabodetabek,34.0,39.0,707.0,616.0,0.1282051282051282,0.0,1.0
2026-08-19 06:00:00+00:00,Jl. Raya Serpong,Jabodetabek,33.0,40.0,729.0,601.0,0.17500000000000004,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Raya Serpong,Jabodetabek,32.0,41.0,751.0,586.0,0.2195121951219512,0.0,1.0
2026-08-19 10:00:00+00:00,Jl. Raya Serpong,Jabodetabek,30.0,41.0,802.0,586.0,0.2682926829268293,0.0,1.0
2026-08-19 11:00:00+00:00,Jl. Raya Serpong,Jabodetabek,25.0,41.0,962.0,586.0,0.3902439024390244,0.0,1.0
2026-08-19 13:00:00+00:00,Jl. Raya Serpong,Jabodetabek,31.0,39.0,776.0,616.0,0.20512820512820518,0.0,1.0
2026-08-19 15:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-20 01:00:00+00:00,Jl. Raya Serpong,Jabodetabek,34.0,40.0,707.0,601.0,0.15000000000000002,0.0,1.0
2026-08-20 02:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-20 04:00:00+00:00,Jl. Raya Serpong,Jabodetabek,33.0,40.0,729.0,601.0,0.17500000000000004,0.0,1.0
2026-08-20 06:00:00+00:00,Jl. Raya Serpong,Jabodetabek,35.0,41.0,687.0,586.0,0.14634146341463417,0.0,1.0
2026-08-20 07:00:00+00:00,Jl. Raya Serpong,Jabodetabek,32.0,40.0,751.0,601.0,0.19999999999999996,0.0,1.0
2026-08-20 09:00:00+00:00,Jl. Raya Serpong,Jabodetabek,33.0,41.0,729.0,586.0,0.19512195121951215,0.0,1.0
2026-08-20 11:00:00+00:00,Jl. Raya Serpong,Jabodetabek,30.0,41.0,802.0,586.0,0.2682926829268293,0.0,1.0
2026-08-20 12:00:00+00:00,Jl. Raya Serpong,Jabodetabek,32.0,40.0,751.0,601.0,0.19999999999999996,0.0,1.0
2026-08-20 14:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-20 16:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-20 17:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-20 19:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-20 21:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-20 22:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-21 00:00:00+00:00,Jl. Raya Serpong,Jabodetabek,36.0,41.0,668.0,586.0,0.12195121951219512,0.0,1.0
2026-08-21 02:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-21 03:00:00+00:00,Jl. Raya Serpong,Jabodetabek,36.0,41.0,668.0,586.0,0.12195121951219512,0.0,1.0
2026-08-21 05:00:00+00:00,Jl. Raya Serpong,Jabodetabek,39.0,39.0,616.0,616.0,0.0,0.0,1.0
2026-08-21 07:00:00+00:00,Jl. Raya Serpong,Jabodetabek,32.0,41.0,751.0,586.0,0.2195121951219512,0.0,1.0
2026-08-21 08:00:00+00:00,Jl. Raya Serpong,Jabodetabek,33.0,40.0,729.0,601.0,0.17500000000000004,0.0,1.0
2026-08-21 10:00:00+00:00,Jl. Raya Serpong,Jabodetabek,34.0,41.0,707.0,586.0,0.1707317073170732,0.0,1.0
2026-08-21 12:00:00+00:00,Jl. Raya Serpong,Jabodetabek,33.0,41.0,729.0,586.0,0.19512195121951215,0.0,1.0
2026-08-21 13:00:00+00:00,Jl. Raya Serpong,Jabodetabek,35.0,41.0,687.0,586.0,0.14634146341463417,0.0,1.0
