obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-07-23 08:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,20.0,39.0,717.0,368.0,0.4871794871794872,0.0,1.0
2026-07-23 09:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,16.0,39.0,897.0,368.0,0.5897435897435898,0.0,1.0
2026-07-23 11:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,10.0,38.0,1435.0,377.0,0.736842105263158,0.0,1.0
2026-07-23 12:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,16.0,39.0,897.0,368.0,0.5897435897435898,0.0,1.0
2026-07-23 13:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,26.0,38.0,552.0,377.0,0.3157894736842105,0.0,1.0
2026-07-23 14:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,29.0,39.0,494.0,368.0,0.2564102564102564,0.0,1.0
2026-07-27 02:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,27.0,39.0,531.0,368.0,0.3076923076923077,0.0,1.0
2026-07-27 03:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,27.0,38.0,531.0,377.0,0.2894736842105263,0.0,1.0
2026-07-27 04:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,29.0,38.0,494.0,377.0,0.23684210526315785,0.0,1.0
2026-07-27 06:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,28.0,39.0,512.0,368.0,0.28205128205128205,0.0,1.0
2026-07-27 07:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,23.0,39.0,624.0,368.0,0.41025641025641024,0.0,1.0
2026-07-27 08:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,22.0,39.0,652.0,368.0,0.4358974358974359,0.0,1.0
2026-07-27 09:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,23.0,38.0,624.0,377.0,0.39473684210526316,0.0,1.0
2026-07-27 10:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,18.0,39.0,797.0,368.0,0.5384615384615384,0.0,1.0
2026-07-27 11:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,18.0,38.0,797.0,377.0,0.5263157894736843,0.0,1.0
2026-07-27 12:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,24.0,39.0,598.0,368.0,0.3846153846153846,0.0,1.0
2026-07-27 13:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,31.0,38.0,463.0,377.0,0.1842105263157895,0.0,1.0
2026-07-27 14:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,29.0,38.0,494.0,377.0,0.23684210526315785,0.0,1.0
2026-07-27 15:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-27 16:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-27 18:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-27 19:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-27 21:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-27 22:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-28 00:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,29.0,39.0,494.0,368.0,0.2564102564102564,0.0,1.0
2026-07-28 02:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,19.0,38.0,755.0,377.0,0.5,0.0,1.0
2026-07-28 03:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,28.0,38.0,512.0,377.0,0.26315789473684215,0.0,1.0
2026-07-28 05:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,25.0,38.0,574.0,377.0,0.3421052631578947,0.0,1.0
2026-07-28 06:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,22.0,38.0,652.0,377.0,0.42105263157894735,0.0,1.0
2026-07-28 08:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,15.0,39.0,956.0,368.0,0.6153846153846154,0.0,1.0
2026-07-28 09:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,22.0,39.0,652.0,368.0,0.4358974358974359,0.0,1.0
2026-07-28 11:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,18.0,39.0,797.0,368.0,0.5384615384615384,0.0,1.0
2026-07-28 12:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,26.0,39.0,552.0,368.0,0.33333333333333337,0.0,1.0
2026-07-28 14:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,26.0,38.0,552.0,377.0,0.3157894736842105,0.0,1.0
2026-07-28 16:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-28 17:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
2026-07-28 19:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,38.0,38.0,377.0,377.0,0.0,0.0,1.0
