obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-07-23 08:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,38.0,47.0,244.0,197.0,0.19148936170212771,0.0,1.0
2026-07-23 09:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-23 11:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,36.0,48.0,257.0,193.0,0.25,0.0,1.0
2026-07-23 12:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,40.0,47.0,231.0,197.0,0.14893617021276595,0.0,1.0
2026-07-23 13:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-23 14:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-27 02:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-27 03:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,48.0,250.0,193.0,0.22916666666666663,0.0,1.0
2026-07-27 04:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,48.0,250.0,193.0,0.22916666666666663,0.0,1.0
2026-07-27 06:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,48.0,250.0,193.0,0.22916666666666663,0.0,1.0
2026-07-27 07:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-27 08:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,47.0,250.0,197.0,0.21276595744680848,0.0,1.0
2026-07-27 09:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,36.0,47.0,257.0,197.0,0.23404255319148937,0.0,1.0
2026-07-27 10:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,34.0,48.0,272.0,193.0,0.29166666666666663,0.0,1.0
2026-07-27 11:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-27 12:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-27 13:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,39.0,48.0,237.0,193.0,0.1875,0.0,1.0
2026-07-27 14:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-27 15:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
2026-07-27 16:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0
