obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-07-23 08:00:00+00:00,TB Simatupang,Jabodetabek,45.0,72.0,549.0,343.0,0.375,0.0,1.0
2026-07-23 09:00:00+00:00,TB Simatupang,Jabodetabek,35.0,72.0,706.0,343.0,0.5138888888888888,0.0,1.0
2026-07-23 11:00:00+00:00,TB Simatupang,Jabodetabek,32.0,73.0,773.0,338.0,0.5616438356164384,0.0,1.0
2026-07-23 12:00:00+00:00,TB Simatupang,Jabodetabek,53.0,71.0,466.0,348.0,0.2535211267605634,0.0,1.0
2026-07-23 13:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0
2026-07-23 14:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0
2026-07-27 02:00:00+00:00,TB Simatupang,Jabodetabek,29.0,70.0,852.0,353.0,0.5857142857142856,0.0,1.0
2026-07-27 03:00:00+00:00,TB Simatupang,Jabodetabek,34.0,72.0,727.0,343.0,0.5277777777777778,0.0,1.0
2026-07-27 04:00:00+00:00,TB Simatupang,Jabodetabek,29.0,71.0,852.0,348.0,0.5915492957746479,0.0,1.0
2026-07-27 06:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0
2026-07-27 07:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0
2026-07-27 08:00:00+00:00,TB Simatupang,Jabodetabek,47.0,72.0,526.0,343.0,0.3472222222222222,0.0,1.0
2026-07-27 09:00:00+00:00,TB Simatupang,Jabodetabek,46.0,72.0,537.0,343.0,0.36111111111111116,0.0,1.0
2026-07-27 10:00:00+00:00,TB Simatupang,Jabodetabek,29.0,73.0,852.0,338.0,0.6027397260273972,0.0,1.0
2026-07-27 11:00:00+00:00,TB Simatupang,Jabodetabek,47.0,71.0,526.0,348.0,0.3380281690140845,0.0,1.0
