,tt_bekasi,tt_bogor,tt_bsd,tt_cawang,tt_depok,tt_gatsu,tt_grogol,tt_kebonjeruk,tt_kelapagading,tt_kuningan,tt_sudirman,tt_tangerang,tt_tbsimatupang,tt_thamrin
tt_bekasi,0.5941538,0.0183958,0.0183958,0.0183958,0.022754965,0.0183958,0.0183958,0.03178422,0.048752073,0.06104005,0.0183958,0.0183958,0.0183958,0.09434847
tt_bogor,0.016276231,0.5841695,0.14929971,0.053344406,0.016276231,0.016276231,0.04706312,0.019335113,0.016276231,0.016276231,0.016276231,0.016276231,0.016578276,0.016276231
tt_bsd,0.009641122,0.08843674,0.7287179,0.033460595,0.009641122,0.012170243,0.05044439,0.009641122,0.009641122,0.009641122,0.009641122,0.009641122,0.009641122,0.009641122
tt_cawang,0.045722805,0.14985384,0.15868609,0.1535976,0.045722805,0.045722805,0.07199302,0.0543642,0.045722805,0.045722805,0.045722805,0.045722805,0.045722805,0.045722805
tt_depok,0.06315415,0.051055714,0.051055714,0.051055714,0.1874203,0.051055714,0.051055714,0.051055714,0.08214432,0.06379572,0.06255053,0.051055714,0.051055714,0.13248922
tt_gatsu,0.031304337,0.031304337,0.039516285,0.031304337,0.031304337,0.5628037,0.053332284,0.031304337,0.031304337,0.031304337,0.031304337,0.031304337,0.031304337,0.031304337
tt_grogol,0.028577318,0.082632,0.14952257,0.044996537,0.028577318,0.04868634,0.2860091,0.028577318,0.028577318,0.028577318,0.028577318,0.15953486,0.028577318,0.028577318
tt_kebonjeruk,0.10269692,0.070608556,0.059438042,0.07067154,0.059438042,0.059438042,0.059438042,0.08089218,0.07489286,0.10612385,0.06373015,0.059438042,0.059438042,0.07375573
tt_kelapagading,0.12695153,0.047903087,0.047903087,0.047903087,0.07707201,0.047903087,0.047903087,0.060358647,0.106765375,0.12857889,0.047903087,0.047903087,0.047903087,0.11704878
tt_kuningan,0.05865031,0.0176756,0.0176756,0.0176756,0.022086214,0.0176756,0.0176756,0.031558957,0.04744389,0.52570343,0.019882765,0.0176756,0.0176756,0.17094515
tt_sudirman,0.06652597,0.06652597,0.06652597,0.06652597,0.0815038,0.06652597,0.06652597,0.07132991,0.06652597,0.07483312,0.09231095,0.07059628,0.06652597,0.0772181
tt_tangerang,0.024173852,0.024173852,0.024173852,0.024173852,0.024173852,0.024173852,0.1349522,0.024173852,0.024173852,0.024173852,0.025652902,0.51802486,0.07963145,0.024173852
tt_tbsimatupang,0.022376638,0.02279189,0.022376638,0.022376638,0.022376638,0.022376638,0.022376638,0.022376638,0.022376638,0.022376638,0.022376638,0.07371122,0.6573538,0.022376638
tt_thamrin,0.122162744,0.02381895,0.02381895,0.02381895,0.06181001,0.02381895,0.02381895,0.029556563,0.0582004,0.23035903,0.027647156,0.02381895,0.02381895,0.30353156
