horizon,model,MAE,RMSE,points
1,Naive Persistence,3.825892857142857,7.428328178251788,672
1,Historical Average,2.5370818335104053,4.484866847546359,672
1,GRU,3.3625128563988094,5.525672797453499,672
1,No-Graph ST-GNN,4.152981206845238,6.819955510819872,672
1,Fixed ST-GNN,7.483237529017856,10.02425776036665,672
1,Adaptive ST-GNN,4.271544563988096,6.690424835988226,672
3,Naive Persistence,5.291666666666667,9.570229135934296,672
3,Historical Average,2.541122584426156,4.483603665893081,672
3,GRU,3.5400657507440476,5.842322175535456,672
3,No-Graph ST-GNN,5.479479470238095,8.213088412920568,672
3,Fixed ST-GNN,7.727072241071428,10.26625242906518,672
3,Adaptive ST-GNN,5.235083706845238,7.754449412115893,672
6,Naive Persistence,7.303571428571429,11.39052446637325,672
6,Historical Average,2.544562918893276,4.5974219796954,672
6,GRU,3.510112305059524,5.845691719691962,672
6,No-Graph ST-GNN,6.64804784375,9.084249612385605,672
6,Fixed ST-GNN,8.065353315476191,10.643679858152401,672
6,Adaptive ST-GNN,5.622723135416667,7.920583065471321,672
