corridor,horizon,adaptive_wins,total_seeds
tt_bekasi,1,2,5
tt_bekasi,3,3,5
tt_bekasi,6,0,5
tt_bogor,1,4,5
tt_bogor,3,2,5
tt_bogor,6,2,5
tt_bsd,1,5,5
tt_bsd,3,5,5
tt_bsd,6,5,5
tt_cawang,1,1,5
tt_cawang,3,1,5
tt_cawang,6,1,5
tt_depok,1,4,5
tt_depok,3,5,5
tt_depok,6,4,5
tt_gatsu,1,2,5
tt_gatsu,3,4,5
tt_gatsu,6,1,5
tt_grogol,1,1,5
tt_grogol,3,2,5
tt_grogol,6,2,5
tt_kebonjeruk,1,3,5
tt_kebonjeruk,3,4,5
tt_kebonjeruk,6,4,5
tt_kelapagading,1,4,5
tt_kelapagading,3,5,5
tt_kelapagading,6,5,5
tt_kuningan,1,0,5
tt_kuningan,3,1,5
tt_kuningan,6,1,5
tt_sudirman,1,3,5
tt_sudirman,3,4,5
tt_sudirman,6,5,5
tt_tangerang,1,2,5
tt_tangerang,3,1,5
tt_tangerang,6,1,5
tt_tbsimatupang,1,2,5
tt_tbsimatupang,3,2,5
tt_tbsimatupang,6,2,5
tt_thamrin,1,3,5
tt_thamrin,3,4,5
tt_thamrin,6,4,5
