corridor,MAE,RMSE,points
tt_kelapagading,3.3128991111111112,3.825954162446536,144
tt_grogol,3.7725196736111113,5.356745672418334,144
tt_bogor,3.824901604166666,4.963025368074235,144
tt_thamrin,4.179674309027778,5.23851717107731,144
tt_bsd,5.1748629444444445,6.523011231572007,144
tt_kebonjeruk,6.260201944444444,7.331935020558442,144
tt_bekasi,6.3921582430555555,7.133586665463791,144
tt_sudirman,6.861643847222222,8.03790474921207,144
tt_tangerang,7.266030958333333,9.231588419023764,144
tt_depok,7.640763909722223,8.584479961356202,144
tt_cawang,8.91594751388889,10.255499983444365,144
tt_gatsu,11.371925763888889,13.038232255162136,144
tt_kuningan,13.75152921527778,14.640219141781712,144
tt_tbsimatupang,19.894702027777775,23.104687434155863,144
