model,seed,horizon,MAE,RMSE
fixed,123,1,4.2452473640441895,6.815628313416205
fixed,123,3,5.33394718170166,7.998568883682363
fixed,123,6,6.201991558074951,8.789140190628851
fixed,2026,1,4.210273742675781,6.798563008781708
fixed,2026,3,5.221225738525391,7.910932639367458
fixed,2026,6,6.080498695373535,8.600070917591184
fixed,42,1,4.2953996658325195,6.853299659072337
fixed,42,3,5.458243370056152,8.097811707082313
fixed,42,6,6.327362060546875,8.903854958256888
fixed,456,1,4.178794860839844,6.776605518601206
fixed,456,3,5.287030220031738,7.954903094686296
fixed,456,6,6.283066749572754,8.892903925848687
fixed,789,1,4.09954309463501,6.752048322929553
fixed,789,3,5.356815338134766,8.027456374666135
fixed,789,6,6.00745153427124,8.5680239046335
adaptive,123,1,4.229486465454102,6.932824561207674
adaptive,123,3,5.45451545715332,8.10400918711135
adaptive,123,6,6.513001918792725,9.025186687873918
adaptive,2026,1,3.984431743621826,6.594717813489124
adaptive,2026,3,4.958831787109375,7.68890566496345
adaptive,2026,6,5.644552230834961,8.31687273013585
adaptive,42,1,4.044153213500977,6.450462253773253
adaptive,42,3,4.615439414978027,7.111645681765825
adaptive,42,6,4.759512901306152,6.92481949223227
adaptive,456,1,4.125479698181152,6.7521728974212385
adaptive,456,3,5.2896857261657715,7.878791017687335
adaptive,456,6,6.3575568199157715,8.65036835520107
adaptive,789,1,4.536604881286621,6.948820757820452
adaptive,789,3,5.433190822601318,8.094487572721414
adaptive,789,6,5.9925537109375,8.535349325619402
